"subject","cond","t","predictable","rt"
171,3,70,"3",906
171,3,71,"1",900
171,3,71,"3",1095
171,3,72,"1",1003
171,3,72,"3",917
152,1,1,"1",861
152,1,1,"3",1318
152,1,2,"1",882
152,1,2,"3",1070
152,1,3,"1",922
152,1,3,"3",1052
152,1,4,"1",1004
152,1,4,"3",970
152,1,5,"1",965
152,1,5,"3",1044
152,1,6,"1",894
152,1,6,"3",862
152,1,7,"1",932
152,1,7,"3",958
152,1,8,"1",1178
152,1,8,"3",965
152,1,9,"1",784
152,1,9,"3",891
152,1,10,"1",887
152,1,10,"3",911
152,1,11,"1",809
152,1,11,"3",871
152,1,12,"1",852
152,1,12,"3",978
152,1,13,"1",996
152,1,13,"3",873
152,1,14,"1",1022
152,1,14,"3",1048
152,1,15,"1",927
152,1,15,"3",552
152,1,16,"1",942
152,1,16,"3",584
152,1,17,"1",826
152,1,17,"3",506
152,1,18,"1",827
152,1,18,"3",532
152,1,19,"1",940
152,1,19,"3",467
152,1,20,"1",889
152,1,20,"3",435
152,1,21,"1",841
152,1,21,"3",526
152,1,22,"1",854
152,1,22,"3",420
152,1,23,"1",511
152,1,23,"3",505
152,1,24,"1",958
152,1,24,"3",629
152,1,25,"3",598
152,1,26,"1",810
152,1,26,"3",700
152,1,27,"1",1155
152,1,27,"3",612
152,1,28,"3",851
152,1,29,"1",908
152,1,29,"3",594
152,1,30,"1",956
152,1,30,"3",411
152,1,31,"1",1050
152,1,31,"3",830
152,1,32,"1",918
152,1,32,"3",431
152,1,33,"1",803
152,1,33,"3",354
152,1,34,"1",808
152,1,34,"3",802
152,1,35,"1",815
152,1,35,"3",461
152,1,36,"1",874
152,1,36,"3",432
152,1,37,"1",842
152,1,37,"3",547
152,1,38,"1",1002
152,1,38,"3",437
152,1,39,"1",959
152,1,39,"3",839
152,1,40,"1",995
152,1,40,"3",886
152,1,41,"1",772
152,1,41,"3",865
152,1,42,"1",845
152,1,42,"3",277
152,1,43,"1",931
152,1,43,"3",478
152,1,44,"1",849
152,1,44,"3",475
152,1,45,"1",834
152,1,45,"3",607
152,1,46,"1",868
152,1,46,"3",664
152,1,47,"1",919
152,1,47,"3",780
152,1,48,"1",835
152,1,48,"3",491
